Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.246150970458984,35.09894231308452,26.652757527018196,28.78433790489176,855215656
1,2007-10-08,30.595373153686523,33.335974634412096,30.403049403752384,33.335974634412096,126671715
2,2007-10-09,32.67888259887695,32.96736615216298,28.960638057695306,30.61140916310034,116725709
3,2007-10-10,32.9833869934082,33.656518050021006,32.694903497024825,33.528301472014974,67931378
4,2007-10-11,36.669578552246094,38.464593373413685,32.69490567167493,38.464593373413685,106320954
5,2007-10-12,36.429176330566406,37.79146375815934,35.5797509217005,35.90028913995766,99410791
6,2007-10-15,36.90998840332031,37.406825314041924,36.589450143852844,37.18244679338334,41814972
7,2007-10-16,40.67630386352539,41.31738458679841,36.701631203728134,36.95806001497541,138614496
8,2007-10-17,43.849639892578125,44.87535959020394,34.00911260491534,36.541365852552126,204876259
9,2007-10-18,42.31105041503906,47.9044436541608,40.50001048366559,44.55481777897231,146617799
10,2007-10-19,42.16682052612305,43.88170113216434,40.067292258839004,41.349445332876826,110266491
11,2007-10-22,41.605857849121094,42.90403545145389,40.22754137196729,41.31737442055562,72253405
12,2007-10-23,44.57084274291992,44.971515445537854,42.631584253702854,42.631584253702854,74594921
13,2007-10-24,43.8817024230957,45.9972559270101,43.384865483742765,45.516444162522674,63055170
14,2007-10-25,43.78553771972656,44.81126193383978,38.67295051895936,42.39119536064654,34522489
15,2007-10-26,45.0997314453125,45.82094233568234,43.352796660719115,44.55481481133551,62370025
16,2007-10-29,46.01326370239258,47.11912208214431,45.61259100647921,45.83696945522149,43657697
17,2007-10-30,47.03900909423828,48.30513278486248,45.26001890077892,46.63833621475361,79921711
18,2007-10-31,48.01663589477539,49.0744146124712,47.119130632104195,47.27939973955104,44655368
19,2007-11-01,46.94282913208008,49.571244072358816,46.55818590629765,49.20262601730909,50632492
20,2007-11-02,47.79225540161133,48.080743260982906,44.8753568988553,45.24397930859063,32001693
21,2007-11-05,48.76990509033203,49.843709057266835,47.47172261774107,47.76021051003557,38833135
22,2007-11-06,49.41098403930664,52.536232016564846,48.737852836227674,49.619333034941526,81880281
23,2007-11-07,48.68976974487305,51.029697105730435,47.599940622659716,50.32451560198206,33593141
24,2007-11-08,47.85635757446289,49.154539703414876,46.79858340797781,47.43965971435106,27990521
25,2007-11-12,49.01029586791992,49.8757506218343,45.14780850776362,46.413935953753736,35153735
26,2007-11-13,50.180267333984375,51.18996181097405,48.257038102545884,49.843703957513696,43830531
27,2007-11-14,49.52315902709961,51.76692615907747,49.26672588918448,51.061740464282174,36738579
28,2007-11-15,50.35658264160156,51.23806299809875,49.41099288378203,50.45274239600598,29242252
29,2007-11-16,50.00397872924805,51.14188774782656,49.427007285856774,50.13219315636451,18895294
30,2007-11-19,51.81501007080078,53.69015933314562,50.75723579336389,51.14187900898757,40716718
31,2007-11-20,51.013671875,53.049090520866926,50.388620582601064,51.60666847463371,26342171
32,2007-11-21,47.03900909423828,51.62270509651142,45.9010955079544,51.31819631665045,26814499
